,customer-comments
810,Very small size 4. Would like to replace with larger size
820,"These sandals have ""bumpers"" or ""stoppers"" behind the toe area of insole. Foot slides into these bumpers, so bumpers cause pain in ball of foot. Plz refund. Thank u."
823,Size is small and it is not fitting
824,Fit is way too loose to be comfortable.
828,I prefer the Sanuk brand i purchased.
830,size didn't fit
831,The sole touching the feet seems very slipperly
832,would like a size 6 of the same.
834,These are knock offs and not comfortable
836,didnt fit and item came dirty
838,These were described as very comfortable.  The rubber is very hard and not at all comfortable.
839,when I open the box?the smell is horrible?the sticky feeling of the belt seems there will be color?fading
846,Seems small for size 7.  The size description for the product was confusing.
853,Inaccurate website description
856,"cute,but too narrow"
860,Item runs small
872,"i thought this was the Havaianas brand. it came up on my search, but it was wrong"
875,The shoes have a horrible odor and are the wrong size. They are not fitting my foot and smell awful.
885,Terrible smell comes from this shoe
887,really heavy flip flops.
891,forgot to return items in time request another label - they don't fit correctly - description on web different from what received
895,wrong size
896,need bigger size
899,just a bit loose on top straps
906,Item has a toxic off gassing odor
915,Strap is broken :(
920,These sandals are not comfortable
935,wide
936,The straps are too loose.
937,clicked on wrong item
945,Ordered two by mistake. Returning one.
947,They aren抰 all yellow. The straps are greenish yellow so they don抰 match.
954,These sandals squeak and it drives me crazy.
955,Color does not match picture
959,I searched for Havianna's and thought it was that brand.
965,it has a strange smell
969,I thought the platform was higher than it was.  I have to have the sandals with a high arch in the middle.  Hope one day to find it
973,Searched Havainas in Amazon and these were the search results. This is deceitful as I thought these were Havainas and Hotmarzz was the seller.
975,Not as comfortable has other Havannas I own
980,no fit
981,"too hard for my feet, need flip flops made from softer and more rubbery material"
982,I typed Haviana and this came up - it is branded to look like Haviana
987,"Shoe size was correct, but straps were too tight for my feet."
988,These flip flops are short.  Doesn't seem to be sized correctly.
1009,"The footbed's concave design, creates suction to the bottom of the feet, resulting in a loud embarrassing 'squeaking' sound when walking."
1013,This product is cheap (in terms of quality) and not the right size.
1019,I bought my usual size and it was way too small. Vendor should alert customers before hand about different sizing information.
1043,B06WGZ2ZJX:Customer wants to return the item B06X985K6K:Customer wants to return the item B06WGZ31W4:Customer wants to return the item B06WVM49T7:Customer wants to return the item
1047,B073TVGT3B:Does not work B073NYYWTK:Does not work
1049,the strap is so loose they fall off
1050,These shoes are coral/pink in color.  Item web description states Red.
1052,Heel too thick
1054,Very masculine looking when I saw them in person.
1058,I ordered 2 pairs. need 81/2..only come in whole sizes. Way too wide and big. Beautiful flip flops
1065,nice try on passing these as havianas- they are not
1069,They send me the wrong size
1070,I was delivered the wrong size
1073,Nothing more than cheap plastic pool shoes.
1079,The sole was too hard for me.
1080,"For some reason, the flip flops in this color are much too loose and won't stay on my feet. Other colors are fine."
1089,"sandals were a little loose and heavy for a flip flop...when i tried to walk, they were not a nice snug, light feel..."
1109,I wanted the Havianna brand Flip/Flop & received another brand named Hotzmarzz.
1110,"These came up under Havaianas flip flop search and they aren't not similar. Too thick of sole, and top strap too small"
1111,wrong brand
1120,size is not accurate
1133,Sizing was off
1134,I order a size bigger but still too small.
1135,Sizes run small. I ordered a size bigger but still too small.
1140,Rubber soles are too hard
1145,too narrow
1146,They are adorable .. I usually wear a 6 but I may have needed a 6 1/2
1152,Runs small so this was the wrong size.  We then bought the next size up from you (and had it delivered same day).  That was fine.
1160,they ran very small- fit like a size 5
1164,too big
1172,These run small so I will need to exchange for the next size up.
1174,"None of it was red.  Definitely pink, needed red."
1176,description states the size 8 is 9.48 inches long but it is 10 inches long and too big for my feet
1179,Color said red..wasn't a true red...more like a orangey pink..
1180,size is not a 10
1184,"Thought I was buying a CHILDS size 9, instead got an ADULT size 9"
1186,they are not red may salmon but I do not like them I have a picture of them if you would like it
1195,the bottom of the flip flop is very narrow and not true to the size of 7-8US.
1199,Toe length is too short. Not reflected in description.
1200,Expected flip flops to be larger
1206,way to small for a size 9.
1208,They are too big.
1209,"B073XL58FF:unknown charge, order not authorized."
1210,I ordered a size 7 and received a size 8. Too large!
1214,B073XK6DTD:Customer received a size 38 EU instead of 37EU.
1225,not comfortable
1227,"Not EU 40/US 9, to small."
1231,Ran very large through the straps
1233,Wrong color and a size to small
1242,Shoes too large
1259,"I really love these, I just converted my size wrong and ordered some that are a tiny bit too small. In the other style, this size fit me perfectly! I hope I can just exchange these for one size up!"
1260,Missing pair showed up; do not need replacement now
1271,Not sure how these items ended up in my cart.
1272,"right after the box was opened, there was very odd smell"
1276,Did not like the quality
1277,Foot slides too far forward.
1278,"I want a larger size, but otherwise I like them very much"
1279,under the impression these were havainas
1284,These flip flops have a terrible smell.
1285,The shoes are too large and uncomfortable
1286,The shoes are too small and uncomfortable. Could not find a size that was acceptable.
1290,thought they were haviannas and they ran super small
1297,"Size is too small , i will buy the bigger size, i like the style."
1299,Hotmarzz Womens soft flip flops size 7.
1301,"I found a better price in a store, so I never used these."
1304,ordering the next size up!
1309,does not feel good on the foot
1319,"Very cute, but sole is too heavy."
1324,they are pretty but heavier than i was expecting. thank.
1334,These are too heavy
1342,"You sent me 8 B(M)/39 EU which is wrong size. I asked for 7 B(M)/38 EU. You stick the right tag, but the flip flop inside is big.  Pls check the size and details of the flip flop. I want 38 EU..Thanks"
1343,"fit is wrong, uncomfortable"
1353,they did not fit
1358,The strap is very uncomfortable and presses against the heels.
1371,size chart said size 7 = size 6 us.  That's not true
1382,Size not right
1393,Horrible.  Strap cut foot
